,index,Fecha,N° de contagios,Masculino,Femenino,LIMA,ANCASH,PIURA,CALLAO,CAJAMARCA,LA LIBERTAD,LORETO,SAN MARTIN,ICA,AYACUCHO,LAMBAYEQUE,PUNO,UCAYALI,AREQUIPA,AMAZONAS,APURIMAC,CUSCO,HUANCAVELICA,HUANUCO,JUNIN,TACNA,PASCO,MOQUEGUA,TUMBES,MADRE DE DIOS,R0_por_dia,R0_LIMA,R0_ANCASH,R0_PIURA,R0_CALLAO,R0_CAJAMARCA,R0_LA LIBERTAD,R0_LORETO,R0_SAN MARTIN,R0_ICA,R0_AYACUCHO,R0_LAMBAYEQUE,R0_PUNO,R0_UCAYALI,R0_AREQUIPA,R0_AMAZONAS,R0_APURIMAC,R0_CUSCO,R0_HUANCAVELICA,R0_HUANUCO,R0_JUNIN,R0_TACNA,R0_PASCO,R0_MOQUEGUA,R0_TUMBES,R0_MADRE DE DIOS
37,37,2020-04-12,713,412,301,499,7,30,36,1,3,24,0,3,0,56,0,3,15,7,0,0,2,4,4,0,0,0,6,13,0.5227272727272727,0.6807639836289222,0.2692307692307692,0.6122448979591837,0.12,1.0,0.375,1.8461538461538465,0.0,0.15789473684210525,,0.8484848484848485,0.0,3.0,1.25,inf,0.0,0.0,1.0,0.5714285714285714,0.5,,0.0,0.0,0.15384615384615385,0.9285714285714286
38,38,2020-04-13,1260,842,418,702,17,31,306,3,23,26,0,27,5,58,1,10,12,0,4,1,1,5,9,0,0,2,13,4,1.7671809256661992,1.406813627254509,2.4285714285714284,1.0333333333333334,8.5,3.0,7.666666666666668,1.0833333333333333,,9.0,inf,1.0357142857142858,inf,3.333333333333333,0.8,0.0,inf,inf,0.5,1.25,2.25,,,inf,2.1666666666666665,0.3076923076923077
39,39,2020-04-14,1006,609,397,588,28,52,83,7,25,30,6,6,5,59,0,6,13,8,9,3,1,10,33,3,0,5,22,4,0.7984126984126985,0.8376068376068376,1.6470588235294117,1.6774193548387095,0.27124183006535946,2.333333333333333,1.0869565217391304,1.1538461538461535,inf,0.2222222222222222,1.0,1.0172413793103448,0.0,0.6,1.0833333333333333,inf,2.25,3.0,1.0,2.0,3.6666666666666665,inf,,2.5,1.6923076923076923,1.0
40,40,2020-04-15,1322,821,501,732,42,77,97,10,25,13,13,13,4,174,4,21,27,7,3,1,4,14,12,2,0,4,17,6,1.3141153081510937,1.2448979591836735,1.5,1.4807692307692308,1.1686746987951808,1.4285714285714286,1.0,0.43333333333333335,2.1666666666666665,2.1666666666666665,0.8,2.949152542372881,inf,3.5,2.0769230769230766,0.875,0.3333333333333333,0.3333333333333333,4.0,1.4,0.3636363636363637,0.6666666666666666,,0.8,0.7727272727272727,1.5
41,41,2020-04-16,1297,729,568,813,38,52,99,5,24,8,11,23,1,84,2,6,40,3,4,8,5,11,28,6,3,5,12,6,0.9810892586989409,1.110655737704918,0.9047619047619048,0.6753246753246753,1.0206185567010309,0.5,0.96,0.6153846153846154,0.8461538461538461,1.7692307692307692,0.25,0.4827586206896552,0.5,0.2857142857142857,1.4814814814814814,0.42857142857142855,1.3333333333333333,8.0,1.25,0.7857142857142857,2.333333333333333,3.0,inf,1.25,0.7058823529411765,1.0
42,42,2020-04-17,1084,597,487,558,25,47,115,10,26,58,12,22,4,77,4,15,12,1,5,7,1,38,20,9,2,4,7,5,0.8357748650732459,0.6863468634686347,0.6578947368421053,0.903846153846154,1.1616161616161615,2.0,1.0833333333333333,7.25,1.0909090909090908,0.9565217391304348,4.0,0.9166666666666666,2.0,2.5,0.3,0.3333333333333333,1.25,0.875,0.2,3.4545454545454546,0.7142857142857143,1.5,0.6666666666666666,0.8,0.5833333333333334,0.8333333333333334
43,43,2020-04-18,1367,837,530,844,57,41,103,7,26,71,12,19,0,47,9,19,33,3,3,11,0,20,14,5,13,0,6,4,1.2610701107011069,1.5125448028673836,2.28,0.8723404255319149,0.8956521739130435,0.7,1.0,1.2241379310344829,1.0,0.8636363636363636,0.0,0.6103896103896104,2.25,1.2666666666666666,2.75,3.0,0.6,1.5714285714285714,0.0,0.5263157894736842,0.7,0.5555555555555556,6.5,0.0,0.8571428571428571,0.8
44,44,2020-04-19,1056,649,407,822,9,11,78,2,10,42,1,4,3,26,0,22,3,1,0,0,1,4,5,3,2,1,6,0,0.7724945135332846,0.9739336492890996,0.15789473684210525,0.2682926829268293,0.7572815533980582,0.2857142857142857,0.38461538461538464,0.5915492957746479,0.08333333333333333,0.21052631578947367,inf,0.5531914893617021,0.0,1.1578947368421053,0.09090909090909093,0.3333333333333333,0.0,0.0,inf,0.2,0.35714285714285715,0.6,0.15384615384615385,inf,1.0,0.0
45,45,2020-04-20,1954,1276,678,1071,31,54,370,11,42,42,7,28,3,139,10,26,28,3,1,15,3,7,19,6,13,3,17,5,1.850378787878788,1.302919708029197,3.4444444444444446,4.909090909090909,4.743589743589744,5.5,4.2,1.0,7.0,7.0,1.0,5.346153846153847,inf,1.181818181818182,9.333333333333334,3.0,inf,inf,3.0,1.75,3.8,2.0,6.5,3.0,2.833333333333333,inf
46,46,2020-04-21,2081,1443,638,1179,45,50,426,9,38,19,5,22,1,131,15,23,28,7,7,7,1,10,28,5,11,7,2,5,1.0649948822927329,1.100840336134454,1.4516129032258065,0.925925925925926,1.1513513513513514,0.8181818181818182,0.9047619047619048,0.4523809523809524,0.7142857142857143,0.7857142857142857,0.3333333333333333,0.9424460431654677,1.5,0.8846153846153846,1.0,2.333333333333333,7.0,0.4666666666666667,0.3333333333333333,1.4285714285714286,1.4736842105263157,0.8333333333333334,0.8461538461538461,2.333333333333333,0.1176470588235294,1.0
