,Fecha,R0_por_dia,R0_LIMA,R0_ANCASH,R0_PIURA,R0_CALLAO,R0_CAJAMARCA,R0_LA LIBERTAD,R0_LORETO,R0_SAN MARTIN,R0_ICA,R0_AYACUCHO,R0_LAMBAYEQUE,R0_PUNO,R0_UCAYALI,R0_AREQUIPA,R0_AMAZONAS,R0_APURIMAC,R0_CUSCO,R0_HUANCAVELICA,R0_HUANUCO,R0_JUNIN,R0_TACNA,R0_PASCO,R0_MOQUEGUA,R0_TUMBES,R0_MADRE DE DIOS
0,2020-03-11,9.062091503267975,8.185344827586206,6.25,2.176470588235294,42.833333333333336,inf,12.25,10.5,inf,17.0,inf,15.125,inf,inf,12.75,,inf,15.0,inf,3.0,2.888888888888889,inf,inf,inf,inf,2.0
1,2020-03-26,6.564370717634331,6.1284886782517125,14.32,14.324324324324325,7.3929961089494185,12.4,5.775510204081633,4.442176870748299,11.25,11.882352941176471,11.333333333333336,9.198347107438016,24.0,15.0,4.921568627450982,inf,34.0,2.4166666666666665,13.0,23.33333333333333,7.461538461538463,4.625,11.0,30.0,5.5,30.5
2,2020-04-10,3.1536559907707518,2.9687231483072694,3.6005586592178767,4.7622641509433965,2.535263157894737,5.46774193548387,4.8021201413427566,2.998468606431853,3.8,4.2425742574257415,5.852941176470589,3.518418688230009,9.041666666666666,9.358333333333333,3.816733067729084,6.468085106382978,2.9705882352941178,2.1862068965517243,7.769230769230768,2.307142857142857,3.5103092783505154,3.45945945945946,4.424242424242424,5.2,2.3737373737373737,2.1311475409836067
3,2020-04-25,1.9405288645786156,1.9626628075253256,2.282389449185415,1.7979397781299524,1.7780776416856965,1.5368731563421831,2.055187637969095,2.024514811031665,2.628654970760234,2.325554259043174,2.3618090452261304,1.5725229826353422,1.2211981566820276,2.68833481745325,2.11482254697286,1.6348684210526316,1.2574257425742574,2.2933753943217665,1.594059405940594,1.7337461300309598,2.0190895741556534,1.671875,1.8013698630136987,1.794871794871795,1.7276595744680852,1.984615384615385
4,2020-05-10,1.6538088655092549,1.607167084500811,1.7386131883072742,2.108638166593213,1.5528312901342674,1.6737044145873317,1.9588256355173648,1.5572653884964682,1.8442714126807565,2.038635223281485,1.7765957446808511,1.547742773627801,1.6188679245283017,1.6793640278237827,1.907699901283317,1.5774647887323945,1.921259842519685,1.6162310866574965,1.5527950310559009,1.5732142857142857,1.517090909090909,2.2196261682242997,2.2243346007604563,2.4142857142857137,1.54064039408867,2.484496124031008
5,2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,
