DEPARTAMENTO,GRUPO_EDAD,RANGO_EDAD,SEXO,TOTAL_POSITIVOS,TOTAL_FALLECIDOS,COD
CALLAO,NIÑO,0 a 11 años,MASCULINO,99,0,CALLA
CUSCO,ADOLESCENTE,12 a 17 años,FEMENINO,16,0,CUSCO
CUSCO,ADOLESCENTE,12 a 17 años,MASCULINO,13,0,CUSCO
CUSCO,ADULTO,30 a 59 años,FEMENINO,313,0,CUSCO
CUSCO,ADULTO,30 a 59 años,MASCULINO,453,0,CUSCO
CUSCO,ADULTO MAYOR,60 años a más,FEMENINO,59,0,CUSCO
CUSCO,ADULTO MAYOR,60 años a más,MASCULINO,59,5,CUSCO
CUSCO,JOVEN,18 a 29 años,FEMENINO,129,0,CUSCO
CUSCO,JOVEN,18 a 29 años,MASCULINO,181,0,CUSCO
CUSCO,NIÑO,0 a 11 años,FEMENINO,23,0,CUSCO
CUSCO,NIÑO,0 a 11 años,MASCULINO,27,0,CUSCO
HUANCAVELICA,ADOLESCENTE,12 a 17 años,FEMENINO,12,0,HUANC
HUANCAVELICA,ADOLESCENTE,12 a 17 años,MASCULINO,31,0,HUANC
HUANCAVELICA,ADULTO,30 a 59 años,FEMENINO,127,0,HUANC
HUANCAVELICA,ADULTO,30 a 59 años,MASCULINO,128,3,HUANC
HUANCAVELICA,ADULTO MAYOR,60 años a más,FEMENINO,17,0,HUANC
HUANCAVELICA,ADULTO MAYOR,60 años a más,MASCULINO,18,2,HUANC
HUANCAVELICA,JOVEN,18 a 29 años,FEMENINO,62,0,HUANC
HUANCAVELICA,JOVEN,18 a 29 años,MASCULINO,91,0,HUANC
HUANCAVELICA,NIÑO,0 a 11 años,FEMENINO,28,0,HUANC
HUANCAVELICA,NIÑO,0 a 11 años,MASCULINO,33,0,HUANC
HUANUCO,ADOLESCENTE,12 a 17 años,FEMENINO,15,0,HUANU
HUANUCO,ADOLESCENTE,12 a 17 años,MASCULINO,12,0,HUANU
HUANUCO,ADULTO,30 a 59 años,FEMENINO,326,0,HUANU
HUANUCO,ADULTO,30 a 59 años,MASCULINO,300,3,HUANU
HUANUCO,ADULTO MAYOR,60 años a más,FEMENINO,60,4,HUANU
HUANUCO,ADULTO MAYOR,60 años a más,MASCULINO,79,11,HUANU
HUANUCO,JOVEN,18 a 29 años,FEMENINO,69,0,HUANU
HUANUCO,JOVEN,18 a 29 años,MASCULINO,130,0,HUANU
HUANUCO,NIÑO,0 a 11 años,FEMENINO,22,0,HUANU
HUANUCO,NIÑO,0 a 11 años,MASCULINO,16,0,HUANU
ICA,ADOLESCENTE,12 a 17 años,FEMENINO,65,0,ICA
ICA,ADOLESCENTE,12 a 17 años,MASCULINO,50,0,ICA
ICA,ADULTO,30 a 59 años,FEMENINO,1099,31,ICA
ICA,ADULTO,30 a 59 años,MASCULINO,1485,77,ICA
ICA,ADULTO MAYOR,60 años a más,FEMENINO,336,71,ICA
ICA,ADULTO MAYOR,60 años a más,MASCULINO,452,116,ICA
ICA,JOVEN,18 a 29 años,FEMENINO,374,0,ICA
ICA,JOVEN,18 a 29 años,MASCULINO,478,2,ICA
ICA,NIÑO,0 a 11 años,FEMENINO,100,1,ICA
ICA,NIÑO,0 a 11 años,MASCULINO,90,0,ICA
JUNIN,ADOLESCENTE,12 a 17 años,FEMENINO,30,0,JUNIN
JUNIN,ADOLESCENTE,12 a 17 años,MASCULINO,24,1,JUNIN
JUNIN,ADULTO,30 a 59 años,FEMENINO,499,2,JUNIN
JUNIN,ADULTO,30 a 59 años,MASCULINO,911,7,JUNIN
JUNIN,ADULTO MAYOR,60 años a más,FEMENINO,123,5,JUNIN
JUNIN,ADULTO MAYOR,60 años a más,MASCULINO,194,12,JUNIN
JUNIN,JOVEN,18 a 29 años,FEMENINO,172,0,JUNIN
JUNIN,JOVEN,18 a 29 años,MASCULINO,237,1,JUNIN
JUNIN,NIÑO,0 a 11 años,FEMENINO,28,0,JUNIN
JUNIN,NIÑO,0 a 11 años,MASCULINO,31,0,JUNIN
LA LIBERTAD,ADOLESCENTE,12 a 17 años,FEMENINO,29,1,LALIB
LA LIBERTAD,ADOLESCENTE,12 a 17 años,MASCULINO,49,0,LALIB
LA LIBERTAD,ADULTO,30 a 59 años,FEMENINO,1244,13,LALIB
LA LIBERTAD,ADULTO,30 a 59 años,MASCULINO,2313,66,LALIB
LA LIBERTAD,ADULTO MAYOR,60 años a más,FEMENINO,409,47,LALIB
LA LIBERTAD,ADULTO MAYOR,60 años a más,MASCULINO,593,134,LALIB
LA LIBERTAD,JOVEN,18 a 29 años,FEMENINO,399,0,LALIB
LA LIBERTAD,JOVEN,18 a 29 años,MASCULINO,864,0,LALIB
LA LIBERTAD,NIÑO,0 a 11 años,FEMENINO,37,1,LALIB
LA LIBERTAD,NIÑO,0 a 11 años,MASCULINO,46,0,LALIB
LAMBAYEQUE,ADOLESCENTE,12 a 17 años,FEMENINO,103,0,LAMBA
